,0
2006-08,0.605482795674288
2006-09,0.5928653906781941
2006-10,0.5832293712657015
2006-11,0.5767355985918802
2006-12,0.573903225721751
2007-01,0.568827779001078
2007-02,0.5638537452692504
2007-03,0.5551542322757625
2007-04,0.5355528172802166
2007-05,0.5260163123038138
2007-06,0.5222300890416328
2007-07,0.5136126065519124
2007-08,0.5132906947957736
2007-09,0.506964647437718
2007-10,0.4999023723844131
2007-11,0.4910904341248746
2007-12,0.49133665933711035
2008-01,0.4960466300585002
2008-02,0.49679701161439355
2008-03,0.504008308665199
2008-04,0.5049233333441921
2008-05,0.5030532915052498
2008-06,0.5028739327190779
2008-07,0.4990754008545474
2008-08,0.4865718095223673
2008-09,0.47898291605149096
2008-10,0.4707047229109731
2008-11,0.4577327395738307
2008-12,0.4613915185658957
2009-01,0.45129494390248065
2009-02,0.43892198474366634
2009-03,0.42251214744088417
2009-04,0.41520666277259444
2009-05,0.4151982345724608
2009-06,0.41040647186196344
2009-07,0.4022758991791531
2009-08,0.4006692432943821
2009-09,0.40147551011021926
2009-10,0.4028888541599685
2009-11,0.39394160787934046
2009-12,0.38642258148376557
2010-01,0.3936629739628885
2010-02,0.41685185077851056
2010-03,0.41888493847780417
2010-10,0.4788789923456941
2010-11,0.48223897996300524
2010-12,0.49394763421151083
2011-01,0.48897173737174904
2011-02,0.5023629159406816
2011-03,0.5300993052546094
2011-04,0.5551714127454472
2011-05,0.5721100119505158
2011-06,0.6050778684492142
2011-07,0.5971627961204992
2011-08,0.6048860162948914
2011-09,0.6048860162948914
2011-10,0.6136750053644204
2011-11,0.6140758398869333
2011-12,0.603215377975624
2012-01,0.5948221705699833
2012-02,0.6075317846314471
2012-03,0.6110727858669763
2012-04,0.6776471321231207
2012-05,0.6679590843339228
2012-06,0.6679590843339228
2012-08,0.7722042406002981
2012-09,0.7542180288546575
2012-10,0.7657297124100947
2012-11,0.7798609268082709
2012-12,0.7643929628642839
2013-01,0.7514949628408869
2013-02,0.7320914336334584
2013-03,0.7215378962026867
2013-06,0.861304693693768
2013-07,0.847700784933646
2013-08,0.8658278574957288
2013-09,0.8933509897762368
2013-10,0.8800042327042386
2013-11,0.9086853768149387
2013-12,0.9086853768149387
2014-01,0.9364000224832149
